sessions_last30,minutes_watched,completion_rate,last_active_days,quizzes_attempted,avg_score,streak_days,support_tickets,forum_posts,assignments_submitted,late_submissions,payment_delay_days,subscription_type,device,country,dropped_out
5,118.89,0.676,28,9,0.464,19,0,2,3,1,36,free,desktop,UY,1
46,628.01,0.589,3,4,0.54,22,0,5,8,1,3,pro,desktop,AR,0
39,502.22,0.817,20,5,0.659,2,0,0,11,0,34,basic,mobile,CO,0
26,539.71,0.477,23,9,0.484,25,0,2,1,0,15,basic,mobile,CO,0
25,598.28,0.797,58,1,0.639,6,1,5,4,1,32,basic,mobile,AR,1
51,930.32,0.708,19,7,0.644,29,1,2,10,1,9,basic,desktop,AR,0
5,51.41,0.598,58,4,0.896,26,1,1,1,0,31,pro,desktop,PE,0
41,403.38,0.537,42,2,0.721,13,0,3,11,2,44,pro,desktop,PE,0
12,113.25,1.0,41,2,0.854,23,0,4,0,0,22,basic,mobile,AR,0
5,36.97,0.437,49,6,0.745,20,1,2,3,1,25,pro,mobile,PE,1
31,578.36,0.66,50,7,0.62,23,0,1,0,0,27,basic,desktop,PE,0
58,1435.52,0.45,13,7,0.72,0,0,1,9,1,16,basic,desktop,MX,0
44,788.46,0.957,25,13,0.809,2,0,2,5,1,24,free,desktop,CO,0
45,199.69,0.777,31,10,0.879,27,0,5,5,1,28,pro,desktop,AR,0
43,724.78,0.464,58,3,0.68,23,1,3,6,0,1,basic,desktop,CL,0
47,800.09,0.703,2,19,0.453,18,3,3,3,1,20,basic,mobile,UY,0
30,917.28,0.652,28,14,0.442,9,0,2,9,2,23,basic,mobile,CO,0
7,64.8,0.497,12,9,0.651,12,0,2,5,1,9,pro,mobile,AR,0
50,782.8,0.752,12,0,0.349,11,0,2,9,2,21,free,mobile,MX,0
27,762.35,0.678,45,18,0.969,13,1,0,7,1,17,basic,desktop,AR,0
30,621.0,0.643,12,14,0.79,18,1,3,8,1,24,basic,mobile,AR,0
22,470.36,0.592,47,9,0.605,22,0,2,11,0,12,free,mobile,AR,1
10,186.88,0.686,59,3,0.534,11,0,5,6,1,40,free,mobile,AR,0
55,1098.88,0.646,46,2,0.854,25,0,1,3,1,28,pro,mobile,CL,0
46,1042.62,0.612,10,5,0.533,2,0,1,8,2,28,free,mobile,AR,0
38,499.44,0.472,8,4,0.547,24,0,1,8,1,36,pro,mobile,CO,1
24,558.44,0.939,26,4,0.585,20,0,0,5,1,0,pro,mobile,PE,0
49,478.34,0.39,33,8,0.717,15,0,2,4,0,11,free,mobile,CL,1
32,639.05,0.686,46,0,0.793,11,1,5,11,1,8,basic,desktop,AR,0
